movieId,title,year,duration,certification,rating,reviews
0111161,The Shawshank Redemption,1994,2h 22m,A,9.3,2.8M
0068646,The Godfather,1972,2h 55m,A,9.2,2M
0468569,The Dark Knight,2008,2h 32m,UA,9.0,2.8M
0071562,The Godfather: Part II,1974,3h 22m,A,9.0,1.3M
0050083,12 Angry Men,1957,1h 36m,U,9.0,848K
0108052,Schindler's List,1993,3h 15m,A,9.0,1.4M
0167260,The Lord of the Rings: The Return of the King,2003,3h 21m,U,9.0,1.9M
0110912,Pulp Fiction,1994,2h 34m,A,8.9,2.2M
0120737,The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,U,8.9,2M
0060196,"Il Buono, Il Brutto, Il Cattivo",1966,2h 41m,A,8.8,800K
0109830,Forrest Gump,1994,2h 22m,UA,8.8,2.2M
0137523,Fight Club,1999,2h 19m,A,8.8,2.3M
0167261,The Lord of the Rings: The Two Towers,2002,2h 59m,UA,8.8,1.8M
1375666,Inception,2010,2h 28m,UA,8.8,2.5M
0080684,Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,UA,8.7,1.4M
0133093,The Matrix,1999,2h 16m,A,8.7,2M
0099685,GoodFellas,1990,2h 25m,A,8.7,1.2M
0073486,One Flew Over the Cuckoo's Nest,1975,2h 13m,A,8.7,1.1M
0114369,Se7en,1995,2h 7m,A,8.6,1.8M
0038650,It's a Wonderful Life,1946,2h 10m,PG,8.6,493K
0047478,Shichinin No Samurai,1954,3h 27m,U,8.6,362K
0816692,Interstellar,2014,2h 49m,UA,8.7,2M
0102926,The Silence of the Lambs,1991,1h 58m,A,8.6,1.5M
0120815,Saving Private Ryan,1998,2h 49m,A,8.6,1.5M
0317248,City of God,2002,2h 10m,A,8.6,791K
0118799,Life Is Beautiful,1997,1h 56m,U,8.6,733K
0120689,The Green Mile,1999,3h 9m,UA,8.6,1.4M
0076759,Star Wars: Episode IV - A New Hope,1977,2h 1m,U,8.6,1.4M
0103064,Terminator 2: Judgment Day,1991,2h 17m,A,8.6,1.2M
9362722,Spider-man: Across the Spider-verse,2023,2h 20m,U,8.6,329K
0088763,Back to the Future,1985,1h 56m,U,8.5,1.3M
0245429,Spirited Away,2001,2h 5m,U,8.6,829K
0253474,The Pianist,2002,2h 30m,13,8.5,895K
6751668,Parasite,2019,2h 12m,A,8.5,921K
0054215,Psycho,1960,1h 49m,A,8.5,709K
0172495,Gladiator,2000,2h 35m,UA,8.5,1.6M
0110357,The Lion King,1994,1h 28m,U,8.5,1.1M
0110413,Léon,1994,1h 50m,A,8.5,1.2M
0407887,The Departed,2006,2h 31m,A,8.5,1.4M
0120586,American History X,1998,1h 59m,R,8.5,1.2M
2582802,Whiplash,2014,1h 46m,A,8.5,960K
0482571,The Prestige,2006,2h 10m,U,8.5,1.4M
0095327,Grave of the Fireflies,1988,1h 29m,U,8.5,303K
0056058,Seppuku,1962,2h 13m,Not Rated,8.6,66K
0114814,The Usual Suspects,1995,1h 46m,A,8.5,1.1M
0034583,Casablanca,1942,1h 42m,U,8.5,599K
1675434,Intouchables,2011,1h 52m,UA,8.5,913K
0027977,Modern Times,1936,1h 27m,G,8.5,256K
0095765,Cinema Paradiso,1988,2h 35m,U,8.5,278K
0047396,Rear Window,1954,1h 52m,U,8.5,515K
0064116,C'era Una Volta Il West,1968,2h 46m,U,8.5,345K
0078748,Alien,1979,1h 57m,R,8.5,935K
0021749,City Lights,1931,1h 27m,G,8.5,194K
0078788,Apocalypse Now,1979,2h 27m,R,8.4,701K
